Title,Short Intro,Full_Text,Category_Limpia,Sub-Category,Skills,URL
IT Fundamentals for Cybersecurity Specialization,Launch your career in Cybersecurity. Acquire the knowledge you need to work in Cybersecurity,IT Fundamentals for Cybersecurity Specialization Launch your career in Cybersecurity. Acquire the knowledge you need to work in Cybersecurity,Information Technology,Security,"Operating System Security, database vulnerabilities, Cybersecurity, networking basics, Cyber Attacks, Information Security (INFOSEC), IBM New Collar, Malware, Network Security, Sql Injection, ",https://www.coursera.org/specializations/it-fundamentals-cybersecurity
Applied Software Engineering Fundamentals Specialization,"Build the foundation of your career in Software. Develop hands-on experience with Git, GitHub, Linux, and Python, and learn the fundamentals of Software Engineering. ","Applied Software Engineering Fundamentals Specialization Build the foundation of your career in Software. Develop hands-on experience with Git, GitHub, Linux, and Python, and learn the fundamentals of Software Engineering. ",Computer Science,Software Development,"Linux, Software Design and Architecture, Python Programming, Git and GitHub, Software Development Lifecycle (SDLC), Basic programming concepts, Careers in software engineering, Programming languages and frameworks, The Software Development Lifecycle (SDLC), Software Architecture, Shell Script, Bash (Unix Shell), ",https://www.coursera.org/specializations/software-engineering-fundamentals
"DevOps, Cloud, and Agile Foundations Specialization",,"DevOps, Cloud, and Agile Foundations Specialization ",Computer Science,Design and Product,"Cloud Native, Devops, Scrum, Cloud Computing, agile, Test-Driven Development, CI/CD, Behavior-Driven Development, Iaas PaaS Saas, Hybrid Multicloud, Agile Software Development, Scrum Methodology, ",https://www.coursera.org/specializations/devops-cloud-and-agile-foundations
Cloud Application Development Foundations Specialization,Kickstart Your Career as a Cloud Native Developer. Learn the foundational front-end and back-end skills for developing and deploying applications on Cloud.,Cloud Application Development Foundations Specialization Kickstart Your Career as a Cloud Native Developer. Learn the foundational front-end and back-end skills for developing and deploying applications on Cloud.,Information Technology,Cloud Computing,"Devops, Python Programming, Node.Js, HTML and CSS, Cloud Applications, Cloud Native, Iaas PaaS Saas, Hybrid Multicloud, Cloud Computing, Cascading Style Sheets (CSS), HTML, Git (Software), ",https://www.coursera.org/specializations/ibm-cloud-application-development-foundations
Python for Everybody Specialization,"Learn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.","Python for Everybody Specialization Learn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.",Computer Science,Software Development,"Json, Xml, Python Programming, Database (DBMS), Python Syntax And Semantics, Basic Programming Language, Computer Programming, Data Structure, Tuple, Web Scraping, Sqlite, SQL, ",https://www.coursera.org/specializations/python
Information Technology (IT) and Cloud Fundamentals Specialization,"Kickstart a new IT and Cloud Career . Master hardware, operating systems, programming, database, networking, storage, cybersecurity, and Cloud computing essentials. ","Information Technology (IT) and Cloud Fundamentals Specialization Kickstart a new IT and Cloud Career . Master hardware, operating systems, programming, database, networking, storage, cybersecurity, and Cloud computing essentials. ",Information Technology,Cloud Computing,"IT Fundamentals, Cybersecurity, Cloud, Networking, hardware, Technical Support, IT Service Management (ITSM), Troubleshooting, IT Career, Software Development Process, database management, Software Application Development, ",https://www.coursera.org/specializations/it-cloud-fundamentals
"BI Foundations with SQL, ETL and Data Warehousing Specialization","Springboard for BI Analytics success. Develop hands-on skills for building data pipelines, warehouses,  reports and dashboards.","BI Foundations with SQL, ETL and Data Warehousing Specialization Springboard for BI Analytics success. Develop hands-on skills for building data pipelines, warehouses,  reports and dashboards.",Information Technology,Data Management,"Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines, ",https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse
Natural Language Processing Specialization,Break into NLP. Master cutting-edge NLP techniques through four hands-on courses! Updated with the latest techniques in October '21.,Natural Language Processing Specialization Break into NLP. Master cutting-edge NLP techniques through four hands-on courses! Updated with the latest techniques in October '21.,Data Science,Machine Learning,"Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding, ",https://www.coursera.org/specializations/natural-language-processing
Business Foundations Specialization,"Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, accounting and operations.","Business Foundations Specialization Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, accounting and operations.",Business,Business Essentials,"Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow, ",https://www.coursera.org/specializations/wharton-business-foundations
Meta React Native Specialization,"Become a cross-platform mobile app developer. Learn in-demand skills for developing reliable, scalable and user-friendly mobile apps for multiple operating systems, such as iOS and Android.","Meta React Native Specialization Become a cross-platform mobile app developer. Learn in-demand skills for developing reliable, scalable and user-friendly mobile apps for multiple operating systems, such as iOS and Android.",Computer Science,Mobile and Web Development,"Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control, ",https://www.coursera.org/specializations/meta-react-native
Mathematics for Machine Learning and Data Science Specialization,"Master the Toolkit of AI and Machine Learning. Mathematics for Machine Learning and Data Science is a beginner-friendly Specialization where you’ll learn the fundamental mathematics toolkit of machine learning: calculus, linear algebra, statistics, and probability.","Mathematics for Machine Learning and Data Science Specialization Master the Toolkit of AI and Machine Learning. Mathematics for Machine Learning and Data Science is a beginner-friendly Specialization where you’ll learn the fundamental mathematics toolkit of machine learning: calculus, linear algebra, statistics, and probability.",Computer Science,Algorithms,"Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent, ",https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science
Introduction to Finance and Accounting Specialization,Learn the basics of finance and accounting. Build a foundation of core business skills in finance and accounting,Introduction to Finance and Accounting Specialization Learn the basics of finance and accounting. Build a foundation of core business skills in finance and accounting,Business,Finance,"Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, ",https://www.coursera.org/specializations/finance-accounting
AI Foundations for Everyone Specialization,,AI Foundations for Everyone Specialization ,Data Science,Data Analysis,"Data Science, Deep Learning, Artificial Intelligence (AI), Machine Learning, Watson (Computer), Jobs, Application Programming Interfaces (API), watson, ",https://www.coursera.org/specializations/ai-foundations-for-everyone
Finance & Quantitative Modeling for Analysts Specialization,,Finance & Quantitative Modeling for Analysts Specialization ,Business,Finance,"Financial Modeling, Corporate Finance, Microsoft Excel, Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Linear Programming (LP), Solver, Discounted Cash Flow, Decision-Making, ",https://www.coursera.org/specializations/finance-quantitative-modeling-analysts
Machine Learning Engineering for Production (MLOps) Specialization,Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production engineering capabilities.,Machine Learning Engineering for Production (MLOps) Specialization Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production engineering capabilities.,Data Science,Machine Learning,"Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, ",https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops
Business and Financial Modeling Specialization,Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,Business and Financial Modeling Specialization Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,Business,Business Essentials,"Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow, ",https://www.coursera.org/specializations/wharton-business-financial-modeling
Business Analytics Specialization,Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,Business Analytics Specialization Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,Data Science,Data Analysis,"Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management, ",https://www.coursera.org/specializations/business-analytics
Excel Skills for Business Specialization,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio. ,Excel Skills for Business Specialization Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio. ,Business,Business Essentials,"Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba, ",https://www.coursera.org/specializations/excel
Learn SQL Basics for Data Science Specialization,,Learn SQL Basics for Data Science Specialization ,Data Science,Data Analysis,"Data Analysis, Apache Spark, Delta Lake, SQL, Data Science, Sqlite, A/B Testing, Query String, Predictive Analytics, Presentation Skills, creating metrics, Exploratory Data Analysis, ",https://www.coursera.org/specializations/learn-sql-basics-data-science
The Materiality of ESG Factors Specialization,Learn about ESG Factors When Investing. Analyze the importance of ESG investing. Identify how the ESG approach should be an essential piece of your strategy based on various factors impacting and driving value.,The Materiality of ESG Factors Specialization Learn about ESG Factors When Investing. Analyze the importance of ESG investing. Identify how the ESG approach should be an essential piece of your strategy based on various factors impacting and driving value.,Business,Finance,"ESG, Investment, Climate Change, Finance, social activism, ",https://www.coursera.org/specializations/materiality-esg-factors
AI For Business Specialization,"Learn the Fundamentals of  AI and Machine Learning. Develop a deployment strategy for incorporating AI, ML, and Big Data into your organization that will take advantage of cutting-edge technologies","AI For Business Specialization Learn the Fundamentals of  AI and Machine Learning. Develop a deployment strategy for incorporating AI, ML, and Big Data into your organization that will take advantage of cutting-edge technologies",Business,Leadership and Management,"Artificial Intelligence (AI), Machine Learning, Management, Analytics, Fraud Prevention, ",https://www.coursera.org/specializations/ai-for-business-wharton
Digital Product Management Specialization,Implement a modern approach to product management. Master the fundamentals that create great teams and products,Digital Product Management Specialization Implement a modern approach to product management. Master the fundamentals that create great teams and products,Computer Science,Design and Product,"hypothesis-driven development, Product Management, Design Thinking, agile, Lean Startup, Product/Market Fit, Innovation Pipeline, agile user stories, User Experience Design (UXD), Agile Software Development, Software Development, Usability Testing, ",https://www.coursera.org/specializations/uva-darden-digital-product-management
Leading the Modern Day Business Specialization,,Leading the Modern Day Business Specialization ,Business,Leadership and Management,"Marketing, Business Strategy, Leadership And Management, Storytelling, Innovation, Technology Disruption, Digital Trends, Competitive Lifecycle, Digital Strategy, Strategic Management, Strategic Thinking, Design Thinking, ",https://www.coursera.org/specializations/leading-modern-day-business
Graphic Design Specialization,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project. ,Graphic Design Specialization Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project. ,Arts and Humanities,Music and Art,"Visual Communication, Branding Communication, Graphic Design, Art History, Typography, Creativity, Graphics, Design Theory, Color Theory, Adobe Illustrator, History, Adobe Indesign, ",https://www.coursera.org/specializations/graphic-design
Security Analyst Fundamentals Specialization,Launch your career in Cybersecurity.. Acquire the knowledge you need to work as a Cybersecurity Analyst.,Security Analyst Fundamentals Specialization Launch your career in Cybersecurity.. Acquire the knowledge you need to work as a Cybersecurity Analyst.,Information Technology,Security,"threat intelligence, Digital Forensics, Data Breach, cybersecurity analyst, Computer Security Incident Management, scripting, forensics, Penetration Test, Cybersecurity, Application Security, network defensive tactics, security analyst, ",https://www.coursera.org/specializations/security-analyst-fundamentals
Improve Your English Communication Skills Specialization,Improve Your English Communication Skills. Write and speak more professionally in English to increase your business success.,Improve Your English Communication Skills Specialization Improve Your English Communication Skills. Write and speak more professionally in English to increase your business success.,Language Learning,Learning English,"Professional, Email Writing, Presentation, Writing, Communication, Stress, Public Speaking, Speech, ",https://www.coursera.org/specializations/improve-english
Entrepreneurship Specialization,"Turn Your Idea into a Funded Business. Develop, launch, fund and grow your own business","Entrepreneurship Specialization Turn Your Idea into a Funded Business. Develop, launch, fund and grow your own business",Business,Entrepreneurship,"Growth Strategies, Exit Strategy, Finance, Entrepreneurship, Discovery-Driven Planning, Elevator Pitch, Planning, Brand Management, Choosing Advisors, Brand, Strategic Management, Marketing, ",https://www.coursera.org/specializations/wharton-entrepreneurship
Foundations of Positive Psychology  Specialization,Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,Foundations of Positive Psychology  Specialization Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,Business,Business Essentials,"Gratitude, goal setting, Research Methodology, Resilience, Character Strengths And Virtues, Positive Education, Positive Psychology, Savoring, Plan, Communication, Mindfulness, Flourishing, ",https://www.coursera.org/specializations/positivepsychology
Data Science Specialization,"Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by leading professors.","Data Science Specialization Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by leading professors.",Data Science,Data Analysis,"Github, Machine Learning, R Programming, Regression Analysis, Data Science, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ",https://www.coursera.org/specializations/jhu-data-science
Supply Chain Management Specialization,"Supply Chain Management. Master the Fundamentals: Logistics, Operations, Planning, Sourcing, and Strategy","Supply Chain Management Specialization Supply Chain Management. Master the Fundamentals: Logistics, Operations, Planning, Sourcing, and Strategy",Business,Business Essentials,"Forecasting, Logistics, Supply Chain, Lean Six Sigma, Supply Chain Risk Management, Warehouse Management, Logistics Planning, Inventory, Six Sigma, Microsoft Excel, Planning, Demand Forecasting, ",https://www.coursera.org/specializations/supply-chain-management
Fintech: Foundations & Applications of Financial Technology Specialization,,Fintech: Foundations & Applications of Financial Technology Specialization ,Business,Business Essentials,"Investment Management, Cryptocurrency, regulation, Blockchain, ",https://www.coursera.org/specializations/wharton-fintech
Microsoft 365 Fundamentals Specialization,Pursue your passion and improve your productivity. Learn how to use the best-in-class suite of apps that help you stay connected and get things done.,Microsoft 365 Fundamentals Specialization Pursue your passion and improve your productivity. Learn how to use the best-in-class suite of apps that help you stay connected and get things done.,Business,Business Essentials,"Create and maintain professional looking documents, Create and edit a workbook with multiple sheets, Represent data visually, Create and manage presentations, Describe the apps and services available in a Microsoft 365 subscription, Documents, Microsoft Word, Microsoft Excel, Chart, Worksheet, Microsoft PowerPoint, Presentation, ",https://www.coursera.org/specializations/microsoft-365-fundamentals
Search Engine Optimization (SEO) Specialization,Become an SEO Expert. Master search engine optimization tools and strategies,Search Engine Optimization (SEO) Specialization Become an SEO Expert. Master search engine optimization tools and strategies,Business,Marketing,"Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media, Keyword Research, Marketing, Content Marketing, Social Media Marketing, ",https://www.coursera.org/specializations/seo
AI Product Management Specialization,"Manage the Design & Development of ML Products. Understand how machine learning works and when and how it can be applied to solve problems.  Learn to apply the data science process and best practices to lead machine learning projects,  and how to develop human-centered AI products which ensure privacy and ethical standards.","AI Product Management Specialization Manage the Design & Development of ML Products. Understand how machine learning works and when and how it can be applied to solve problems.  Learn to apply the data science process and best practices to lead machine learning projects,  and how to develop human-centered AI products which ensure privacy and ethical standards.",Data Science,Machine Learning,"Data Science, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Modeling, Artificial Neural Network, Project Management, Privacy, Design Thinking, Ethics, ",https://www.coursera.org/specializations/ai-product-management-duke
Introduction to Programming with Python and Java Specialization,"Boost Your Computer Programming Skills. With minimal previous exposure, learn two popular programming languages at an accelerated pace.","Introduction to Programming with Python and Java Specialization Boost Your Computer Programming Skills. With minimal previous exposure, learn two popular programming languages at an accelerated pace.",Computer Science,Software Development,"Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools, ",https://www.coursera.org/specializations/programming-python-java
Construction Management Specialization,Construction Project Management and Planning. Develop and understand the foundations of project planning and scheduling techniques,Construction Management Specialization Construction Project Management and Planning. Develop and understand the foundations of project planning and scheduling techniques,Business,Leadership and Management,"Schedule, Cost Estimate, Cost Control, Finance, Real Estate finance, Project Management, Construction Management, Work Breakdown Structure, Project Planning, Linear Scheduling Method, Program Evaluation And Review Technique (PERT), Critical Path Method, ",https://www.coursera.org/specializations/construction-management
IBM Introduction to Machine Learning Specialization,Learn machine learning through real use cases. Build the skills for a career in one of the most relevant fields of modern AI through hands-on projects and curriculum from IBM’s experts.,IBM Introduction to Machine Learning Specialization Learn machine learning through real use cases. Build the skills for a career in one of the most relevant fields of modern AI through hands-on projects and curriculum from IBM’s experts.,Data Science,Data Analysis,"Machine Learning Regression, Machine Learning Classification, Machine Learning, Unsupervised Learning, Exploratory Data Analysis, Artificial Intelligence (AI), Feature Engineering, Statistical Hypothesis Testing, Regression Analysis, Supervised Learning, Linear Regression, Ridge Regression, ",https://www.coursera.org/specializations/ibm-intro-machine-learning
Data Analysis and Presentation Skills: the PwC Approach Specialization,"Make Smarter Business Decisions With Data Analysis. Understand data, apply data analytics tools and create effective business intelligence presentations","Data Analysis and Presentation Skills: the PwC Approach Specialization Make Smarter Business Decisions With Data Analysis. Understand data, apply data analytics tools and create effective business intelligence presentations",Business,Business Essentials,"Data Analysis, Microsoft Excel, Data Visualization (DataViz), Presentation, Data-Informed Decision-Making, Big Data, Pivot Table, Data Cleansing, Dashboard (Business), Data Virtualization, Communication, Presentation Design, ",https://www.coursera.org/specializations/pwc-analytics
AWS Fundamentals Specialization,,AWS Fundamentals Specialization ,Information Technology,Cloud Computing,"AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, aws, Information Privacy, Cloud Management, security, Cloud Applications, AWS Lambda, Amazon Lex, ",https://www.coursera.org/specializations/aws-fundamentals
Data Science: Foundations using R Specialization,,Data Science: Foundations using R Specialization ,Data Science,Data Analysis,"Data Science, Machine Learning, Github, R Programming, Exploratory Data Analysis, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ",https://www.coursera.org/specializations/data-science-foundations-r
Python 3 Programming Specialization,Become a Fluent Python Programmer. Learn the fundamentals and become an independent programmer.,Python 3 Programming Specialization Become a Fluent Python Programmer. Learn the fundamentals and become an independent programmer.,Computer Science,Software Development,"Json, Computer Programming, Python Programming, Sorting, ",https://www.coursera.org/specializations/python-3-programming
Reinforcement Learning Specialization,Master the Concepts of Reinforcement Learning. Implement a complete RL solution and understand how to apply AI tools to solve real-world problems.,Reinforcement Learning Specialization Master the Concepts of Reinforcement Learning. Implement a complete RL solution and understand how to apply AI tools to solve real-world problems.,Data Science,Machine Learning,"Artificial Intelligence (AI), Machine Learning, Reinforcement Learning, Function Approximation, Intelligent Systems, ",https://www.coursera.org/specializations/reinforcement-learning
Accelerated Computer Science Fundamentals Specialization,Data Structures and Algorithms in C++. Learn fundamentals of computer science while implementing efficient data structures in C++.,Accelerated Computer Science Fundamentals Specialization Data Structures and Algorithms in C++. Learn fundamentals of computer science while implementing efficient data structures in C++.,Computer Science,Algorithms,"Run-time Analysis, Algorithms, Hash Table, Trees (Data Structures), Object-Oriented Programming (OOP), ",https://www.coursera.org/specializations/cs-fundamentals
Digital Marketing Specialization,"Drive Customer Behavior Online. A six-course overview of the latest digital marketing skills, taught by industry experts.","Digital Marketing Specialization Drive Customer Behavior Online. A six-course overview of the latest digital marketing skills, taught by industry experts.",Business,Marketing,"Digital Marketing, Marketing, Pricing Strategies, Marketing Mix, Product Strategies, Data Collection, Analytics, Data Analysis, Data Visualization (DataViz), Marketing Analytics, Marketing Performance, Marketing Channel, ",https://www.coursera.org/specializations/digital-marketing
DevOps on AWS Specialization,Launch your career in DevOps. Master DevOps methodologies and AWS services to deliver faster and more reliable updates to your customers,DevOps on AWS Specialization Launch your career in DevOps. Master DevOps methodologies and AWS services to deliver faster and more reliable updates to your customers,Computer Science,Software Development,"Continuous Integration, Devops, Monitoring and Logging, Continuous Delivery, Microservices, AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, Test Automation, AWS cloud, ",https://www.coursera.org/specializations/aws-devops
Generative Adversarial Networks (GANs) Specialization,Break into the GANs space. Master cutting-edge GANs techniques through three hands-on courses!,Generative Adversarial Networks (GANs) Specialization Break into the GANs space. Master cutting-edge GANs techniques through three hands-on courses!,Data Science,Machine Learning,"Generator, Image-to-Image Translation, glossary of computer graphics, Discriminator, Generative Adversarial Networks, Controllable Generation, WGANs, Conditional Generation, Components of GANs, DCGANs, Bias in GANs, StyleGANs, ",https://www.coursera.org/specializations/generative-adversarial-networks-gans
Data Visualization with Tableau Specialization,Visualize Business Data with Tableau. Create powerful business intelligence reports,Data Visualization with Tableau Specialization Visualize Business Data with Tableau. Create powerful business intelligence reports,Data Science,Data Analysis,"Storyboarding, Map, Tableau Software, Data Visualization (DataViz), Data Virtualization, Visualization (Computer Graphics), Data Analysis, Visual Analytics, Interactive Visualization, ",https://www.coursera.org/specializations/data-visualization
Certified in Cybersecurity Specialization,Advance Your IT Career with Cybersecurity Skills. Gain Flexibility with Self-Paced Learning,Certified in Cybersecurity Specialization Advance Your IT Career with Cybersecurity Skills. Gain Flexibility with Self-Paced Learning,Information Technology,Security,"Cybersecurity, Network Security, security principles, Risk, Information Assurance, security, governance, Computer Security Incident Management, Business Continuity, Disaster Recovery, Logical Controls, administrative controls, ",https://www.coursera.org/specializations/certified-in-cybersecurity
Business Strategy Specialization,Steer Your Business to Success. Generate value and demonstrate global impact in four courses. ,Business Strategy Specialization Steer Your Business to Success. Generate value and demonstrate global impact in four courses. ,Business,Business Strategy,"Strategic Analysis, Strategic Management, Strategic Thinking, Business Strategy, Capabilities Analysis, Competitive Position, Industry Structure, business competition, Mergers And Acquisitions (M&A), innovation strategy, growth strategy, Strategy Implementation, ",https://www.coursera.org/specializations/business-strategy
Applied Data Science with Python Specialization,"Gain new insights into your data  . Learn to apply data science methods and techniques, and acquire analysis skills.","Applied Data Science with Python Specialization Gain new insights into your data  . Learn to apply data science methods and techniques, and acquire analysis skills.",Data Science,Data Analysis,"Text Mining, Python Programming, Pandas, Matplotlib, Numpy, Data Cleansing, Data Virtualization, Data Visualization (DataViz), Machine Learning (ML) Algorithms, Machine Learning, Scikit-Learn, Natural Language Toolkit (NLTK), ",https://www.coursera.org/specializations/data-science-python
